feature,category,note,coverage_count,coverage_start,coverage_end,samples_7d,rank_ic_7d,high_avg_7d,low_avg_7d,spread_7d,best_side_7d,edge_7d,high_hit_up_7d,low_hit_up_7d,samples_20d,rank_ic_20d,high_avg_20d,low_avg_20d,spread_20d,best_side_20d,edge_20d,high_hit_up_20d,low_hit_up_20d,samples_60d,rank_ic_60d,high_avg_60d,low_avg_60d,spread_60d,best_side_60d,edge_60d,high_hit_up_60d,low_hit_up_60d,composite_edge,best_horizon,mean_edge
open_interest_delta_1d,Derivatives,higher = faster daily OI expansion,180,2025-09-15,2026-03-13,173,-0.044824341425200843,-0.020269554808830994,-0.014300074864142413,-0.005969479944688581,low,0.005969479944688581,0.4,0.4,160,-0.038696824094691155,-0.07701521728288356,-0.06818540773192418,-0.008829809550959383,low,0.008829809550959383,0.21875,0.25,120,-0.15409403430793792,-0.19709986190900866,-0.1680691697894142,-0.02903069211959447,low,0.02903069211959447,0.041666666666666664,0.08333333333333333,0.016338096657159257,60,0.014609993871747476
amihud_z_90d,Liquidity,higher = more illiquid,3686,2016-02-09,2026-03-13,3679,0.0087312800344537,0.014596118645255715,0.0074353050114021385,0.007160813633853577,high,0.007160813633853577,0.5570652173913043,0.49592391304347827,3666,0.019907504012596874,0.025653725491295274,0.02298700978886138,0.0026667157024338924,high,0.0026667157024338924,0.5504087193460491,0.47547683923705725,3626,-0.042867082888694216,0.07852686554318349,0.11272626027914796,-0.03419939473596448,low,0.03419939473596448,0.559228650137741,0.5523415977961432,0.016178606902130063,60,0.014675641357417316
range_compression_20d,Liquidity,higher = expanded range,3716,2016-01-10,2026-03-13,3709,0.05493245843903661,0.02214187139706643,0.010131832703144964,0.012010038693921464,high,0.012010038693921464,0.5956873315363881,0.5161725067385444,3696,0.03418147376072522,0.05109697873182542,0.03593956121116698,0.01515741752065844,high,0.01515741752065844,0.5918918918918918,0.5432432432432432,3656,0.029819507624669696,0.168666934800539,0.15056275849746936,0.018104176303069625,high,0.018104176303069625,0.6352459016393442,0.5778688524590164,0.015706645268275518,60,0.015090544172549842
onchain_activity_z_30d,On-chain,higher = stronger on-chain composite,3716,2016-01-10,2026-03-13,3709,0.00393046571356797,0.01667439513373166,0.011283756345556088,0.005390638788175571,high,0.005390638788175571,0.5512129380053908,0.522911051212938,3696,0.006403143254128354,0.04685940892486747,0.04402458738198303,0.00283482154288444,high,0.00283482154288444,0.5743243243243243,0.5675675675675675,3656,0.010927134119394702,0.17867507131986646,0.1488042355659612,0.029870835753905256,high,0.029870835753905256,0.6461748633879781,0.5765027322404371,0.014160390676350994,60,0.012698765361655089
open_interest_delta_z_30d,Derivatives,higher = unusual OI expansion vs 30d baseline,171,2025-09-24,2026-03-13,164,-0.0017384680260634122,-0.014990203101963886,-0.011035407446066606,-0.00395479565589728,low,0.00395479565589728,0.42424242424242425,0.42424242424242425,151,0.007319623562216778,-0.06904810231389881,-0.06701363867515518,-0.0020344636387436277,low,0.0020344636387436277,0.22580645161290322,0.22580645161290322,111,-0.15672165672165672,-0.19637399661169921,-0.16605986224112465,-0.030314134370574564,low,0.030314134370574564,0.043478260869565216,0.13043478260869565,0.013730398334906732,60,0.01210113122173849
tx_count_z_30d,On-chain,higher = more transactions,3716,2016-01-10,2026-03-13,3709,0.0014495644974839893,0.019902038355219198,0.011378796059065027,0.008523242296154171,high,0.008523242296154171,0.5633423180592992,0.5350404312668463,3696,-0.013421683234880709,0.044425814702918946,0.04505514694726309,-0.0006293322443441454,low,0.0006293322443441454,0.572972972972973,0.5783783783783784,3656,-0.007008566679602821,0.1664574596901441,0.14966800403295788,0.01678945565718623,high,0.01678945565718623,0.6133879781420765,0.5860655737704918,0.008672163619842986,60,0.008647343399228182
funding_price_divergence_3d,Derivatives,"positive = price/funding disagreement, negative = crowded alignment",3582,2016-05-23,2026-03-13,3575,-0.009995189355913614,0.013366957890188678,0.015685488368394247,-0.002318530478205568,low,0.002318530478205568,0.5594405594405595,0.5454545454545454,3562,-0.009865027867650028,0.03997931106156049,0.03851017454228795,0.0014691365192725375,high,0.0014691365192725375,0.5091164095371669,0.5525946704067322,3522,0.007049636161613053,0.12350202085408335,0.13511695434224066,-0.011614933488157314,low,0.011614933488157314,0.5679886685552408,0.5702127659574469,0.005697334098613054,60,0.0051342001618784735
perp_premium_z_30d,Derivatives,higher = richer perp premium vs baseline,2256,2020-01-09,2026-03-13,2249,-0.015105821118862895,0.006707488818619031,0.009988681975482482,-0.003281193156863451,low,0.003281193156863451,0.5177777777777778,0.5466666666666666,2236,0.0009812122689752457,0.024885876585045933,0.026188134661617624,-0.0013022580765716905,low,0.0013022580765716905,0.5178571428571429,0.5245535714285714,2196,-0.0027529922327820073,0.103183690042992,0.09267448504701883,0.01050920499597316,high,0.01050920499597316,0.55,0.5522727272727272,0.00538082386039063,60,0.005030885409802767
dxy_return_20d,Macro,higher = stronger dollar headwind,0,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0.0,7,
dxy_return_z_90d,Macro,higher = unusual DXY momentum,0,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0.0,7,
